,Songs,Artists
1976,Psycho Killer - 2005 Remaster,Talking Heads
1977,Tainted Love,Soft Cell
1978,Little Red Corvette,Prince
1979,Family Affair - Single Version,Sly & The Family Stone
1980,Can't Get You out of My Head,Kylie Minogue
1981,Honky Tonk Women - Mono Version,The Rolling Stones
1982,Your Best American Girl,Mitski
1983,Autobahn - 2009 Remaster,Kraftwerk
1984,My Girls,Animal Collective
1985,Eleanor Rigby - Remastered,The Beatles
1986,Get It On,T. Rex
1987,There She Goes,The La's
1988,Help! - Remastered,The Beatles
1989,House Of Jealous Lovers,The Rapture
1990,Last Nite,The Strokes
1991,Le Freak,CHIC
1992,Won't Get Fooled Again - Original Album Version,The Who
1993,In My Life - Remastered,The Beatles
1994,Hurt,Johnny Cash
1995,Ms. Jackson,Outkast
1996,Walk on By,Dionne Warwick
1997,Folsom Prison Blues,Johnny Cash
1998,Sign 'O' the Times - Single Version,Prince
1999,bad guy,Billie Eilish
2000,Heroin,The Velvet Underground
2001,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
2002,Thunder Road,Bruce Springsteen
2003,One,U2
2004,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
2005,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
2006,Yesterday - Remastered,The Beatles
2007,Dancing Queen,ABBA
2008,Summertime Blues,Eddie Cochran
2009,This Charming Man - 2011 Remaster,The Smiths
2010,Blue Suede Shoes,Carl Perkins
2011,Good Times,CHIC
2012,Pyramids,Frank Ocean
2013,My Girl - Single Version/Mono,The Temptations
2014,Paint It Black,The Rolling Stones
2015,Video Games,Lana Del Rey
2016,Rehab,Amy Winehouse
2017,Rapper's Delight - Long Version,The Sugarhill Gang
2018,The Sound of Silence - Electric Version,Simon & Garfunkel
2019,Fortunate Son,Creedence Clearwater Revival
2020,Papa's Got A Brand New Bag - Pt. 1,James Brown
2021,Bridge over Troubled Water,Simon & Garfunkel
2022,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
2023,Proud Mary,Creedence Clearwater Revival
2024,Every Breath You Take - Remastered 2003,The Police
2025,Maybellene - Single Version,Chuck Berry
2026,A Whiter Shade Of Pale,Procol Harum
2027,Midnight City,M83
2028,Losing My Edge,LCD Soundsystem
2029,I'm So Lonesome I Could Cry - Single Version,Hank Williams
2030,Eight Miles High,The Byrds
2031,Born Slippy (Nuxx),Underworld
2032,Great Balls Of Fire,Jerry Lee Lewis
2033,Green Onions,Booker T. & the M.G.'s
2034,Maps,Yeah Yeah Yeahs
2035,Umbrella,Rihanna
2036,She Loves You - Remastered,The Beatles
2037,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
2038,Tangled up in Blue,Bob Dylan
2039,Maggie May,Rod Stewart
2040,Will You Still Love Me Tomorrow,The Shirelles
2041,Seasons (Waiting On You),Future Islands
2042,Creep,Radiohead
2043,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
2044,Paranoid,Black Sabbath
2045,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
2046,Kashmir - 1990 Remaster,Led Zeppelin
2047,Walk This Way (feat. Aerosmith),Run–D.M.C.
2048,Like a Prayer,Madonna
2049,Marquee Moon - 2003 Remaster,Television
2050,Hotline Bling,Drake
2051,Live Forever,Oasis
2052,Time to Pretend,MGMT
2053,When a Man Loves a Woman,Percy Sledge
2054,Brown Sugar,The Rolling Stones
2055,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
2056,Tomorrow Never Knows - Remastered,The Beatles
2057,This Land is Your Land,Woody Guthrie
2058,"Oh, Pretty Woman",Roy Orbison
2059,Jailhouse Rock,Elvis Presley
2060,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
2061,I Bet You Look Good On The Dancefloor,Arctic Monkeys
2062,Like a Virgin,Madonna
2063,Into the Groove,Madonna
2064,Let It Happen,Tame Impala
2065,Cranes in the Sky,Solange
2066,Song 2 - 2012 Remaster,Blur
2067,Purple Rain,Prince
2068,Wuthering Heights,Kate Bush
2069,Born In The U.S.A.,Bruce Springsteen
2070,Kids,MGMT
2071,"Nuthin' But A ""G"" Thang",Dr. Dre
2072,Peggy Sue - Single Version,Buddy Holly
2073,White Rabbit,Jefferson Airplane
2074,Kiss,Prince
2075,Sunday Bloody Sunday,U2
2076,Psycho Killer - 2005 Remaster,Talking Heads
2077,Tainted Love,Soft Cell
2078,Little Red Corvette,Prince
2079,Family Affair - Single Version,Sly & The Family Stone
2080,Can't Get You out of My Head,Kylie Minogue
2081,Honky Tonk Women - Mono Version,The Rolling Stones
2082,Your Best American Girl,Mitski
2083,Autobahn - 2009 Remaster,Kraftwerk
2084,My Girls,Animal Collective
2085,Eleanor Rigby - Remastered,The Beatles
2086,Get It On,T. Rex
2087,There She Goes,The La's
2088,Help! - Remastered,The Beatles
2089,House Of Jealous Lovers,The Rapture
2090,Last Nite,The Strokes
2091,Le Freak,CHIC
2092,Won't Get Fooled Again - Original Album Version,The Who
2093,In My Life - Remastered,The Beatles
2094,Hurt,Johnny Cash
2095,Ms. Jackson,Outkast
2096,Walk on By,Dionne Warwick
2097,Folsom Prison Blues,Johnny Cash
2098,Sign 'O' the Times - Single Version,Prince
2099,bad guy,Billie Eilish
2100,Heroin,The Velvet Underground
2101,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
2102,Thunder Road,Bruce Springsteen
2103,One,U2
2104,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
2105,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
2106,Yesterday - Remastered,The Beatles
2107,Dancing Queen,ABBA
2108,Summertime Blues,Eddie Cochran
2109,This Charming Man - 2011 Remaster,The Smiths
2110,Blue Suede Shoes,Carl Perkins
2111,Good Times,CHIC
2112,Pyramids,Frank Ocean
2113,My Girl - Single Version/Mono,The Temptations
2114,Paint It Black,The Rolling Stones
2115,Video Games,Lana Del Rey
2116,Rehab,Amy Winehouse
2117,Rapper's Delight - Long Version,The Sugarhill Gang
2118,The Sound of Silence - Electric Version,Simon & Garfunkel
2119,Fortunate Son,Creedence Clearwater Revival
2120,Papa's Got A Brand New Bag - Pt. 1,James Brown
2121,Bridge over Troubled Water,Simon & Garfunkel
2122,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
2123,Proud Mary,Creedence Clearwater Revival
2124,Every Breath You Take - Remastered 2003,The Police
2125,Maybellene - Single Version,Chuck Berry
2126,A Whiter Shade Of Pale,Procol Harum
2127,Midnight City,M83
2128,Losing My Edge,LCD Soundsystem
2129,I'm So Lonesome I Could Cry - Single Version,Hank Williams
2130,Eight Miles High,The Byrds
2131,Born Slippy (Nuxx),Underworld
2132,Great Balls Of Fire,Jerry Lee Lewis
2133,Green Onions,Booker T. & the M.G.'s
2134,Maps,Yeah Yeah Yeahs
2135,Umbrella,Rihanna
2136,She Loves You - Remastered,The Beatles
2137,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
2138,Tangled up in Blue,Bob Dylan
2139,Maggie May,Rod Stewart
2140,Will You Still Love Me Tomorrow,The Shirelles
2141,Seasons (Waiting On You),Future Islands
2142,Creep,Radiohead
2143,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
2144,Paranoid,Black Sabbath
2145,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
2146,Kashmir - 1990 Remaster,Led Zeppelin
2147,Walk This Way (feat. Aerosmith),Run–D.M.C.
2148,Like a Prayer,Madonna
2149,Marquee Moon - 2003 Remaster,Television
2150,Hotline Bling,Drake
2151,Live Forever,Oasis
2152,Time to Pretend,MGMT
2153,When a Man Loves a Woman,Percy Sledge
2154,Brown Sugar,The Rolling Stones
2155,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
2156,Tomorrow Never Knows - Remastered,The Beatles
2157,This Land is Your Land,Woody Guthrie
2158,"Oh, Pretty Woman",Roy Orbison
2159,Jailhouse Rock,Elvis Presley
2160,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
2161,I Bet You Look Good On The Dancefloor,Arctic Monkeys
2162,Like a Virgin,Madonna
2163,Into the Groove,Madonna
2164,Let It Happen,Tame Impala
2165,Cranes in the Sky,Solange
2166,Song 2 - 2012 Remaster,Blur
2167,Purple Rain,Prince
2168,Wuthering Heights,Kate Bush
2169,Born In The U.S.A.,Bruce Springsteen
2170,Kids,MGMT
2171,"Nuthin' But A ""G"" Thang",Dr. Dre
2172,Peggy Sue - Single Version,Buddy Holly
2173,White Rabbit,Jefferson Airplane
2174,Kiss,Prince
2175,Sunday Bloody Sunday,U2
2176,Psycho Killer - 2005 Remaster,Talking Heads
2177,Tainted Love,Soft Cell
2178,Little Red Corvette,Prince
2179,Family Affair - Single Version,Sly & The Family Stone
2180,Can't Get You out of My Head,Kylie Minogue
2181,Honky Tonk Women - Mono Version,The Rolling Stones
2182,Your Best American Girl,Mitski
2183,Autobahn - 2009 Remaster,Kraftwerk
2184,My Girls,Animal Collective
2185,Eleanor Rigby - Remastered,The Beatles
2186,Get It On,T. Rex
2187,There She Goes,The La's
2188,Help! - Remastered,The Beatles
2189,House Of Jealous Lovers,The Rapture
2190,Last Nite,The Strokes
2191,Le Freak,CHIC
2192,Won't Get Fooled Again - Original Album Version,The Who
2193,In My Life - Remastered,The Beatles
2194,Hurt,Johnny Cash
2195,Ms. Jackson,Outkast
2196,Walk on By,Dionne Warwick
2197,Folsom Prison Blues,Johnny Cash
2198,Sign 'O' the Times - Single Version,Prince
2199,bad guy,Billie Eilish
2200,Heroin,The Velvet Underground
2201,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
2202,Thunder Road,Bruce Springsteen
2203,One,U2
2204,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
2205,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
2206,Yesterday - Remastered,The Beatles
2207,Dancing Queen,ABBA
2208,Summertime Blues,Eddie Cochran
2209,This Charming Man - 2011 Remaster,The Smiths
2210,Blue Suede Shoes,Carl Perkins
2211,Good Times,CHIC
2212,Pyramids,Frank Ocean
2213,My Girl - Single Version/Mono,The Temptations
2214,Paint It Black,The Rolling Stones
2215,Video Games,Lana Del Rey
2216,Rehab,Amy Winehouse
2217,Rapper's Delight - Long Version,The Sugarhill Gang
2218,The Sound of Silence - Electric Version,Simon & Garfunkel
2219,Fortunate Son,Creedence Clearwater Revival
2220,Papa's Got A Brand New Bag - Pt. 1,James Brown
2221,Bridge over Troubled Water,Simon & Garfunkel
2222,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
2223,Proud Mary,Creedence Clearwater Revival
2224,Every Breath You Take - Remastered 2003,The Police
2225,Maybellene - Single Version,Chuck Berry
2226,A Whiter Shade Of Pale,Procol Harum
2227,Midnight City,M83
2228,Losing My Edge,LCD Soundsystem
2229,I'm So Lonesome I Could Cry - Single Version,Hank Williams
2230,Eight Miles High,The Byrds
2231,Born Slippy (Nuxx),Underworld
2232,Great Balls Of Fire,Jerry Lee Lewis
2233,Green Onions,Booker T. & the M.G.'s
2234,Maps,Yeah Yeah Yeahs
2235,Umbrella,Rihanna
2236,She Loves You - Remastered,The Beatles
2237,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
2238,Tangled up in Blue,Bob Dylan
2239,Maggie May,Rod Stewart
2240,Will You Still Love Me Tomorrow,The Shirelles
2241,Seasons (Waiting On You),Future Islands
2242,Creep,Radiohead
2243,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
2244,Paranoid,Black Sabbath
2245,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
2246,Kashmir - 1990 Remaster,Led Zeppelin
2247,Walk This Way (feat. Aerosmith),Run–D.M.C.
2248,Like a Prayer,Madonna
2249,Marquee Moon - 2003 Remaster,Television
2250,Hotline Bling,Drake
2251,Live Forever,Oasis
2252,Time to Pretend,MGMT
2253,When a Man Loves a Woman,Percy Sledge
2254,Brown Sugar,The Rolling Stones
2255,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
2256,Tomorrow Never Knows - Remastered,The Beatles
2257,This Land is Your Land,Woody Guthrie
2258,"Oh, Pretty Woman",Roy Orbison
2259,Jailhouse Rock,Elvis Presley
2260,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
2261,I Bet You Look Good On The Dancefloor,Arctic Monkeys
2262,Like a Virgin,Madonna
2263,Into the Groove,Madonna
2264,Let It Happen,Tame Impala
2265,Cranes in the Sky,Solange
2266,Song 2 - 2012 Remaster,Blur
2267,Purple Rain,Prince
2268,Wuthering Heights,Kate Bush
2269,Born In The U.S.A.,Bruce Springsteen
2270,Kids,MGMT
2271,"Nuthin' But A ""G"" Thang",Dr. Dre
2272,Peggy Sue - Single Version,Buddy Holly
2273,White Rabbit,Jefferson Airplane
2274,Kiss,Prince
2275,Sunday Bloody Sunday,U2
2276,Psycho Killer - 2005 Remaster,Talking Heads
2277,Tainted Love,Soft Cell
2278,Little Red Corvette,Prince
2279,Family Affair - Single Version,Sly & The Family Stone
2280,Can't Get You out of My Head,Kylie Minogue
2281,Honky Tonk Women - Mono Version,The Rolling Stones
2282,Your Best American Girl,Mitski
2283,Autobahn - 2009 Remaster,Kraftwerk
2284,My Girls,Animal Collective
2285,Eleanor Rigby - Remastered,The Beatles
2286,Get It On,T. Rex
2287,There She Goes,The La's
2288,Help! - Remastered,The Beatles
2289,House Of Jealous Lovers,The Rapture
2290,Last Nite,The Strokes
2291,Le Freak,CHIC
2292,Won't Get Fooled Again - Original Album Version,The Who
2293,In My Life - Remastered,The Beatles
2294,Hurt,Johnny Cash
2295,Ms. Jackson,Outkast
2296,Walk on By,Dionne Warwick
2297,Folsom Prison Blues,Johnny Cash
2298,Sign 'O' the Times - Single Version,Prince
2299,bad guy,Billie Eilish
2300,Heroin,The Velvet Underground
2301,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
2302,Thunder Road,Bruce Springsteen
2303,One,U2
2304,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
2305,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
2306,Yesterday - Remastered,The Beatles
2307,Dancing Queen,ABBA
2308,Summertime Blues,Eddie Cochran
2309,This Charming Man - 2011 Remaster,The Smiths
2310,Blue Suede Shoes,Carl Perkins
2311,Good Times,CHIC
2312,Pyramids,Frank Ocean
2313,My Girl - Single Version/Mono,The Temptations
2314,Paint It Black,The Rolling Stones
2315,Video Games,Lana Del Rey
2316,Rehab,Amy Winehouse
2317,Rapper's Delight - Long Version,The Sugarhill Gang
2318,The Sound of Silence - Electric Version,Simon & Garfunkel
2319,Fortunate Son,Creedence Clearwater Revival
2320,Papa's Got A Brand New Bag - Pt. 1,James Brown
2321,Bridge over Troubled Water,Simon & Garfunkel
2322,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
2323,Proud Mary,Creedence Clearwater Revival
2324,Every Breath You Take - Remastered 2003,The Police
2325,Maybellene - Single Version,Chuck Berry
2326,A Whiter Shade Of Pale,Procol Harum
2327,Midnight City,M83
2328,Losing My Edge,LCD Soundsystem
2329,I'm So Lonesome I Could Cry - Single Version,Hank Williams
2330,Eight Miles High,The Byrds
2331,Born Slippy (Nuxx),Underworld
2332,Great Balls Of Fire,Jerry Lee Lewis
2333,Green Onions,Booker T. & the M.G.'s
2334,Maps,Yeah Yeah Yeahs
2335,Umbrella,Rihanna
2336,She Loves You - Remastered,The Beatles
2337,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
2338,Tangled up in Blue,Bob Dylan
2339,Maggie May,Rod Stewart
2340,Will You Still Love Me Tomorrow,The Shirelles
2341,Seasons (Waiting On You),Future Islands
2342,Creep,Radiohead
2343,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
2344,Paranoid,Black Sabbath
2345,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
2346,Kashmir - 1990 Remaster,Led Zeppelin
2347,Walk This Way (feat. Aerosmith),Run–D.M.C.
2348,Like a Prayer,Madonna
2349,Marquee Moon - 2003 Remaster,Television
2350,Hotline Bling,Drake
2351,Live Forever,Oasis
2352,Time to Pretend,MGMT
2353,When a Man Loves a Woman,Percy Sledge
2354,Brown Sugar,The Rolling Stones
2355,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
2356,Tomorrow Never Knows - Remastered,The Beatles
2357,This Land is Your Land,Woody Guthrie
2358,"Oh, Pretty Woman",Roy Orbison
2359,Jailhouse Rock,Elvis Presley
2360,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
2361,I Bet You Look Good On The Dancefloor,Arctic Monkeys
2362,Like a Virgin,Madonna
2363,Into the Groove,Madonna
2364,Let It Happen,Tame Impala
2365,Cranes in the Sky,Solange
2366,Song 2 - 2012 Remaster,Blur
2367,Purple Rain,Prince
2368,Wuthering Heights,Kate Bush
2369,Born In The U.S.A.,Bruce Springsteen
2370,Kids,MGMT
2371,"Nuthin' But A ""G"" Thang",Dr. Dre
2372,Peggy Sue - Single Version,Buddy Holly
2373,White Rabbit,Jefferson Airplane
2374,Kiss,Prince
2375,Sunday Bloody Sunday,U2
2376,Psycho Killer - 2005 Remaster,Talking Heads
2377,Tainted Love,Soft Cell
2378,Little Red Corvette,Prince
2379,Family Affair - Single Version,Sly & The Family Stone
2380,Can't Get You out of My Head,Kylie Minogue
2381,Honky Tonk Women - Mono Version,The Rolling Stones
2382,Your Best American Girl,Mitski
2383,Autobahn - 2009 Remaster,Kraftwerk
2384,My Girls,Animal Collective
2385,Eleanor Rigby - Remastered,The Beatles
2386,Get It On,T. Rex
2387,There She Goes,The La's
2388,Help! - Remastered,The Beatles
2389,House Of Jealous Lovers,The Rapture
2390,Last Nite,The Strokes
2391,Le Freak,CHIC
2392,Won't Get Fooled Again - Original Album Version,The Who
2393,In My Life - Remastered,The Beatles
2394,Hurt,Johnny Cash
2395,Ms. Jackson,Outkast
2396,Walk on By,Dionne Warwick
2397,Folsom Prison Blues,Johnny Cash
2398,Sign 'O' the Times - Single Version,Prince
2399,bad guy,Billie Eilish
2400,Heroin,The Velvet Underground
2401,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
2402,Thunder Road,Bruce Springsteen
2403,One,U2
2404,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
2405,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
2406,Yesterday - Remastered,The Beatles
2407,Dancing Queen,ABBA
